word_length,occurrences
58,1
57,1
54,2
53,2
52,1
51,2
50,8
49,3
48,3
47,8
46,13
45,28
44,21
43,27
42,97
41,36
40,48
39,73
38,69
37,70
36,83
35,95
34,139
33,213
32,211
31,273
30,334
29,602
28,673
27,876
26,1128
25,1308
24,1746
23,2403
22,2772
21,4106
20,4502
19,5220
18,7167
17,8238
16,10519
15,10516
14,12044
13,13245
12,14268
11,19942
10,47856
9,26614
8,19908
7,19265
6,31861
5,24116
4,21492
3,12962
2,4771
1,7239
