word,frequency
MockSettingsImpl,13
fieldName,13
ArrayEquals,13
getDescription,13
MockitoSessionBuilder,13
isInstance,13
Long,13
AssertionError,13
IMockitoConfiguration,13
nextToBeThrown,13
getArguments,13
random,13
FieldInitializationReport,13
intercept,13
Callable,13
printSettings,13
current,13
to,13
filtered,13
implementation,13
startsWith,13
invokedMethod,12
x,12
getParameters,12
VerificationDataImpl,12
Comparable,12
generationFailed,12
getDefaultAnswer,12
mockCandidates,12
fqcn,12
useConstructor,12
fieldInstance,12
BoundedType,12
isOut,12
testClassInstances,12
NotAMockException,12
MockInitializer,12
regex,12
base,12
Pattern,12
isExported,12
WeakKey,12
InjectionBase,12
resources,12
A3,12
ref,12
read,12
currentStrictness,12
matcherStack,12
when,12
getStackTrace,12
VerificationInOrderMode,12
orderingContext,12
instanceField,12
HashMap,12
MockitoCore,12
PluginLoader,12
DefaultMockitoPlugins,12
createInvocation,12
JavaEightUtil,12
MockFeatures,12
actualInvocations,12
warnAboutUnstubbed,12
self,12
InvocationListener,12
argument0,12
injectionOccurred,11
outerClassInstance,11
Answers,11
with,11
createMock,11
wantedArgumentPosition,11
PrintSettings,11
MockingDetails,11
PRIMITIVES,11
start,11
redefineModule,11
resetMock,11
INITIALIZATION_ERROR,11
reportOr,11
OngoingMockInjection,11
text,11
targets,11
DetachedThreadLocal,11
ReturnsEmptyValues,11
localMock,11
BDDOngoingStubbingImpl,11
reportNot,11
stubOnly,11
MockName,11
reportAnd,11
copySelfWithNewVerificationMode,11
PluginSwitch,11
getProperty,11
getInstantiator,11
eq,11
doAnswer,11
ValidableAnswer,11
stubbingStrictness,11
newHandler,11
entry,11
classOrAlias,11
MockitoJUnitRunner,11
delta,11
visitLdcInsn,11
isTypeMockable,11
thiz,11
constructors,11
Platform,11
mockitoOngoingStubbing,11
Implementation,11
match,11
VerificationWrapper,11
F,10
M,10
j,10
TypeDescription,10
Checks,10
provider,10
service,10
toArray,10
argType,10
isAnnotationPresent,10
assertNotClosed,10
createMockType,10
mockDependentFields,10
timer,10
matchingConstructors,10
impl,10
pluginClassName,10
MethodHandle,10
mockitoMethod,10
FormattedText,10
getExtraInterfaces,10
CALLS_REAL_METHODS,10
log,10
alias,10
count,10
isFinal,10
verificationOverTime,10
TestFinishedEvent,10
selected,10
ScopedMock,10
loadPlugin,10
StubbedInvocationMatcher,10
ConstructionMockControl,10
TYPE,10
ArgumentsAreDifferent,10
willReturn,10
classContext,10
ioe,10
HashCodeAndEqualsSafeSet,10
isNull,10
defaultReturnValue,10
getDeclaredFields,10
PRIMITIVE_TYPES,10
TypeMockability,10
stubbedAt,10
Cleaner,10
container,10
cast,10
allLocations,10
ClassLoadingStrategy,10
StaticMockControl,10
FieldReader,10
WRAPPERS,10
suffix,10
mockStatic,10
getThrowable,10
setStrictness,10
closed,10
reflectionEquals,10
throwableType,10
Character,10
argument1,10
delegatedObject,9
BytecodeGenerator,9
firstBound,9
returned,9
fieldReader,9
createStaticMock,9
MockitoMethod,9
verifyNoMoreInteractions,9
LENIENT,9
GreaterThan,9
VerificationListener,9
LessThan,9
stubbed,9
GreaterOrEqual,9
getOrderingContext,9
getHandler,9
getTarget,9
LatentKey,9
originalMockingDetails,9
validateFor,9
declaringClass,9
instanceRef,9
skip,9
ContainsExtraTypeInfo,9
OngoingInjector,9
make,9
getInvocations,9
atMost,9
unstubbed,9
instrumentedMethod,9
addAnswer,9
discrepancy,9
getAnnotationEngine,9
arity,9
returnValueFor,9
allRemainingCandidateFields,9
parameter,9
invocationForStubbing,9
thenReturn,9
flatMocked,9
silentSetAccessible,9
thenAnswer,9
InstanceFields,9
ConstructorInstantiator,9
invokeNullaryFactoryMethod,9
NoSuchMethodException,9
strategy,9
arg,9
describe,9
Discrepancy,9
isMockConstruction,9
pattern,9
RunNotifier,9
serializable,9
StubbingLookupListener,9
LessOrEqual,9
createdMocks,9
createConstructionMock,9
aryEq,9
MockCandidateFilter,9
MockedStatic,9
returnOnSuccess,9
argumentMatcher,9
mismatches,9
expungeStaleEntries,9
AllInvocationsFinder,9
ValuePrinter,9
GLOBAL_CONFIGURATION,9
resolveStrategy,9
wildcard,9
maybeVerifyLazily,8
mockable,8
S,8
resolve,8
stubbingInProgress,8
listenerThrowable,8
stringBuilder,8
superType,8
MockitoSerializationIssue,8
VerificationDataInOrder,8
methodCall,8
Instrumentation,8
inlineClass,8
wrappedVerification,8
resetOngoingStubbing,8
reportNoSetterFound,8
clearInvocations,8
InlineMockMaker,8
printStream,8
actualType,8
InOrder,8
VerificationStartedListener,8
classBeingRedefined,8
testFinished,8
sessionStore,8
WeakConcurrentSet,8
millis,8
isInline,8
nextToBeReturned,8
modifiers,8
registry,8
interfaceBounds,8
doAnswerStyleStubbing,8
prefix,8
doNothing,8
typeName,8
checkMissingInvocation,8
getMockitoLogger,8
INLINE,8
lookup,8
adjustModuleGraph,8
objects,8
A4,8
mockMethodInterceptor,8
LinkedHashSet,8
minNumberOfInvocations,8
InstantiatorProvider,8
isInvokable,8
readReplace,8
StackTraceFilter,8
invocationMatcher,8
InterceptedInvocation,8
warnings,8
GlobalConfiguration,8
mockitoTestListener,8
T2,8
call,8
mockitoMock,8
FieldAnnotationProcessor,8
Math,8
INSTANCE,8
Verification,8
iFace,8
readLock,8
mockRef,8
removeListener,8
atLeast,8
in,8
mockClass,8
Mock,8
Advice,8
OngoingStubbingImpl,8
ByteBuddy,8
bindTo,8
doCallRealMethod,8
should,8
stackTraceFilter,8
rawExtraInterfaces,8
iface,8
argument2,8
cce,7
RunListener,7
createSpy,7
emptyList,7
mockitoCore,7
throwables,7
named,7
InlineDelegateByteBuddyMockMaker,7
CompareTo,7
DISPATCHERS,7
StackTraceCleaner,7
Default,7
framework,7
getConstructorArgs,7
Timeout,7
MockitoConfigurationException,7
lhsClass,7
iterable,7
leq,7
MockReference,7
getInstantiatorProvider,7
VerificationStrategy,7
verifyInOrder,7
compile,7
methods,7
matchingMock,7
initMocks,7
actualTypeArgument,7
atLeastOnce,7
throwableClass,7
mocksToBeVerifiedInOrder,7
Timer,7
VerificationAwareInvocation,7
stack,7
MockitoRule,7
implementationContext,7
fieldClass,7
getDeclaredConstructor,7
MethodVisitor,7
existing,7
sequenceNumber,7
methodVisitor,7
MockitoTestRule,7
InOrderImpl,7
MethodGraph,7
codegenLookup,7
MockCreationListener,7
SelfCallInfo,7
stubbingLookupListener,7
getMatchers,7
hasOuterClassInstance,7
sleepyTime,7
detail,7
INSTRUMENTATION,7
InvocationFactory,7
InvalidUseOfMatchersException,7
isIgnoredForVerification,7
SubclassBytecodeGenerator,7
genericReturnType,7
filterCandidate,7
firstChunk,7
onMockCreated,7
matchResult,7
methodDoesNotAcceptParameter,7
rawArguments,7
registeredInvocations,7
ReturnsArgumentAt,7
verificationWrapper,7
To,7
ClassFileVersion,7
getDescriptor,7
doIntercept,7
MockWeakReference,7
writeReplace,7
getBounds,7
Failure,7
MockitoFramework,7
ObjectStreamException,7
allStubbings,7
RETURNS_DEFAULTS,7
typeDescription,7
stubbingLookupListeners,7
nextKey,7
RUNTIME,7
SerializableMethod,7
verificationStartedListeners,7
frame,7
gt,7
RunnerFactory,7
getMockMaker,7
StubInfo,7
actualTypeArguments,7
it,7
StackTraceCleanerProvider,7
wasUsed,7
Supplier,7
MockitoSessionLogger,7
NotifiedMethodInvocationReport,7
lt,7
Lookup,7
DelegatingMethod,7
MockitoInitializationException,7
getLength,7
argMismatchStubs,7
geq,7
verificationListeners,7
additionalMatcherName,7
ArgumentMatcherAction,7
initializer,7
only,7
getAllLocations,7
testTransients,7
popMatcher,6
getFailure,6
ModuleHandler,6
printInvocations,6
Optional,6
getTestName,6
indexesOfMatchers,6
additionalAnswers,6
locals,6
stackTraceHolder,6
findInvocations,6
disable,6
THREAD,6
JUnitSessionStore,6
testName,6
delegateMethod,6
mockClassStatic,6
actuals,6
WithInlinedExpunction,6
emptyOptionalDouble,6
delegatedInstance,6
ClassCreatingMockMaker,6
unlock,6
FieldInitializer,6
NullInsteadOfMockException,6
getValue,6
NoTestsRemainException,6
nonVarArgsCount,6
enter,6
InvocationContainer,6
VarargMatcher,6
undesired,6
SubclassByteBuddyMockMaker,6
constructorArgTypes,6
mockingStarted,6
Captor,6
actualCalls,6
isAtLeast,6
StubbingHint,6
unstubbedInvocation,6
getClassName,6
MockResolver,6
isIn,6
temp,6
nextStrategy,6
build,6
VerificationInOrderFailure,6
constructorString,6
ArgumentCaptor,6
getRawArguments,6
BiConsumer,6
session,6
isDisrespectingOpenness,6
identityHashCode,6
getExceptionTypes,6
evaluate,6
visitMethodInsn,6
pluralize,6
writeLock,6
println,6
unstubbedCalls,6
getOuterClassInstance,6
clearAllMocks,6
isPackagePrivate,6
After,6
Event,6
boundsOf,6
stackTraceElement,6
enable,6
RetrieveGenericsForDefaultAnswers,6
LinkedHashMap,6
reference,6
cleaner,6
failed,6
configuration,6
expectedType,6
verified,6
prequel,6
WarningsCollector,6
WildcardType,6
sleep,6
fromSingleMock,6
getUnfilteredStackTrace,6
ret,6
matchingType,6
InDefinedShape,6
RetentionPolicy,6
describeClass,6
MockNameImpl,6
URL,6
all,6
FromT,6
isPublic,6
atMostOnce,6
DefaultStubbingLookupListener,6
emptyPeriod,6
RealMethodBehavior,6
areEqual,6
getKey,6
isUsingConstructor,6
nop,6
InputStream,6
preferredPluginType,6
emptyOptionalLong,6
getSpiedInstance,6
isOpen,6
actualLocations,6
mockClassConstruction,6
primitiveTypeOf,6
exceptions,6
isToStringMethod,6
getMethodName,6
notNull,6
verifyNoInteractions,6
orderedCandidateInjecteeFields,6
MethodInvocationReport,6
parentMockSettings,6
Number,6
processInjection,6
isSuspended,6
finishMocking,6
emptyDuration,6
typesToRegister,6
spy,6
ArgumentMatcherStorage,6
typeToRegister,6
onMethodCall,6
superMethod,6
