word_length,frequency
59,1
49,2
48,2
47,4
45,11
44,2
43,3
42,6
41,8
40,8
39,2
38,6
37,20
36,23
35,29
34,19
33,38
32,65
31,50
30,61
29,58
28,86
27,129
26,128
25,234
24,203
23,215
22,426
21,461
20,504
19,531
18,449
17,712
16,1289
15,979
14,900
13,1144
12,1222
11,1511
10,2042
9,1642
8,2001
7,1830
6,4081
5,2256
4,2003
3,1067
2,328
1,1912
