word_length,occurrences
41,3
40,5
39,3
38,3
37,10
36,12
35,16
34,55
33,22
32,81
31,60
30,197
29,167
28,403
27,168
26,339
25,340
24,537
23,633
22,578
21,1117
20,1187
19,1247
18,1802
17,1774
16,6260
15,3706
14,4522
13,4462
12,4253
11,4981
10,14710
9,12181
8,14437
7,12877
6,14838
5,10436
4,8865
3,3971
2,5641
1,32796
