name,base,type,frequency
20,20,CARD,3806533
beiden,beide,PIAT,3782539.657
erst,erst,ADV,3755484
Kinder,Kind,NN,3744595
Auf,auf,APPR,3720817.114
1,1,ADJA,3696857.987
viele,viele,PIAT,3687964.775
vier,vier,CARD,3652580
kein,keine,PIAT,3647650
ref,ref,NE,3636792.301
jedoch,jedoch,ADV,3629578.257
wo,wo,PWAV,3598181
dabei,dabei,PROAV,3595238.803
Frau,Frau,NN,3592767
ja,ja,ADV,3592739.789
--,--,$(,3585159
de,de,NE,3580350.13
müssen,müssen,VMFIN,3518895.03
konnte,können,VMFIN,3513987
dort,dort,ADV,3510222.358
CEST,UNKNOWN,NE,3506339.568
wäre,sein,VAFIN,3486890
sollte,sollen,VMFIN,3486818
dieses,diese,PDAT,3475538.62
vor,vor,PTKVZ,3435618.524
da,da,ADV,3415229.139
kommt,kommen,VVFIN,3376715.582
gab,geben,VVFIN,3375610
sollen,sollen,VMFIN,3337330.612
uns,wir,PPER,3290633.102
haben,haben,VAINF,3273583.271
werde,werden,VAFIN,3270804.758
als,als,KOUS,3224983.421
mir,ich,PPER,3218624.035
machen,machen,VVINF,3200123.494
letzten,letzt,ADJA,3197860
SPD,SPD,NE,3190372.3
0,@card@,CARD,3189049
Leben,Leben,NN,3187327.659
ob,ob,KOUS,3186360.124
dazu,dazu,PROAV,3180974
...,...,$.,3176601
mal,mal,ADV,3170299.313
alles,alle,PIS,3162066.83
Mai,Mai,NN,3145485.043
seien,sein,VAFIN,3139315
wegen,wegen,APPR,3127449.818
Platz,Platz,NN,3109138.689
Mann,Mann,NN,3107227.689
können,können,VMINF,3088993.289
Artikel,Artikel,NN,3075366
Als,als,KOKOM,3065326.726
erste,erst,ADJA,3065068
also,also,ADV,3046099
wollen,wollen,VMFIN,3044421.356
würde,werden,VAFIN,3035222
of,of,FM,3013175
dafür,dafür,PROAV,3007284
kam,kommen,VVFIN,2955258
St.,St.,NE,2943523.876
diesen,diese,PDAT,2941250.557
allerdings,allerdings,ADV,2904612
könnte,können,VMFIN,2899675
fünf,fünf,CARD,2896383
deutschen,deutsch,ADJA,2886165
nichts,nichts,PIS,2877991.418
mehr,mehr,PIAT,2876998.107
Land,Land,NN,2871998
Geschichte,Geschichte,NN,2860707.141
Sonntag,Sonntag,NN,2853657.289
ref,ref,FM,2811120.735
Welt,Welt,NN,2804048
Aber,aber,KON,2799249.224
zwar,zwar,ADV,2777895
Was,was,PWS,2775074.942
etwas,etwas,ADV,2771955.467
liegt,liegen,VVFIN,2766384.764
Samstag,Samstag,NN,2765285
gestern,gestern,ADV,2764680
Seite,Seite,NN,2746293.021
1,1,CARD,2745752
30,30,CARD,2745296
ihrem,ihr,PPOSAT,2730724.509
2,2,CARD,2713975
Teil,Teil,NN,2701681.139
Diese,diese,PDAT,2697585.963
wohl,wohl,ADV,2694834.804
vergangenen,vergangen,ADJA,2680940
2008,@card@,CARD,2666040
zurück,zurück,PTKVZ,2663899.506
fast,fast,ADV,2660313
2009,@card@,CARD,2641617
Doch,doch,KON,2640296.89
später,spät,ADJD,2638413.281
15,15,CARD,2638099
2007,@card@,CARD,2631620
ab,ab,APPR,2622385.545
Frage,Frage,NN,2614747.464
2006,@card@,CARD,2593275
2010,@card@,CARD,2570758
großen,groß,ADJA,2570187
CDU,CDU,NE,2562881.026
weitere,weit,ADJA,2557276
mich,ich,PRF,2553342.511
was,was,PWS,2534693.792
Arbeit,Arbeit,NN,2527721
denn,denn,KON,2524852.897
Tag,Tag,NN,2523743.973
dies,dies,PDS,2523560.238
10,10,CARD,2519876
Wer,wer,PWS,2506934
September,September,NN,2502820
lassen,lassen,VVINF,2468443.709
Juni,Juni,NN,2441840
März,März,NN,2441532
Frauen,Frau,NN,2434268.814
andere,ander,ADJA,2429833.981
gar,gar,ADV,2429463.391
davon,davon,PROAV,2428818.243
S.,S.,NE,2412083.102
Thema,Thema,NN,2401206
macht,machen,VVFIN,2385459.862
Polizei,Polizei,NN,2378691
Unternehmen,Unternehmen,NN,2377883.238
da,da,KOUS,2373852.975
sogar,sogar,ADV,2370619
stehen,stehen,VVFIN,2354340.267
Peter,Peter,NE,2346911
Mark,Mark,NN,2342000.322
darauf,darauf,PROAV,2336712
hätte,haben,VAFIN,2336034
große,groß,ADJA,2331715
Oktober,Oktober,NN,2322386
Fall,Fall,NN,2319344
gewesen,sein,VAPP,2318545
bin,sein,VAFIN,2294296
weiter,weiter,ADV,2289724.293
einfach,einfach,ADJD,2287274
Freitag,Freitag,NN,2281636.196
gemacht,machen,VVPP,2278317.029
zehn,zehn,CARD,2273131
Da,da,ADV,2265897.253
2,2,ADJA,2251581.853
April,April,NN,2244183
zweiten,zweit,ADJA,2236959
gerade,gerade,ADV,2222540.868
findet,finden,VVFIN,2218400.762
Beispiel,Beispiel,NN,2217047
allen,alle,PIAT,2211967.692
hätten,haben,VAFIN,2210300
November,November,NN,2204738
Weg,Weg,NN,2203026.406
Gemeinde,Gemeinde,NN,2197792.555
USA,USA,NE,2195139
18,18,CARD,2190373
Man,man,PIS,2182769
Geld,Geld,NN,2177347
Juli,Juli,NN,2170809
Spiel,Spiel,NN,2167274.754
2011,@card@,CARD,2161925
eigenen,eigen,ADJA,2157841
Dr.,Dr.,NN,2149108
Januar,Januar,NN,2140433
Den,die,ART,2140011.904
Herr,Herr,NN,2125418
ging,gehen,VVFIN,2123398
Woche,Woche,NN,2101525
Zum,zum,APPRART,2093550
Mal,Mal,NN,2088375.395
sieht,sehen,VVFIN,2076952
Vor,vor,APPR,2068335.448
%,%,NN,2062325
Dabei,dabei,PROAV,2058915.188
statt,statt,PTKVZ,2056961.701
ihnen,sie,PPER,2055263
Dezember,Dezember,NN,2053353
keinen,keine,PIAT,2053030.421
heißt,heißen,VVFIN,2047114.481
Michael,Michael,NE,2045518
14,14,CARD,2039688
Seit,seit,APPR,2029363.693
uns,wir,PRF,2022717.164
nächsten,nah,ADJA,2009393.675
bleibt,bleiben,VVFIN,2001756.655
August,August,NN,2000496.571
viel,viel,PIAT,1994353.669
Regierung,Regierung,NN,1991318
einige,einige,PIAT,1990351.534
du,du,PPER,1988503
3,3,ADJA,1985507
sechs,sechs,CARD,1981701
würden,werden,VAFIN,1972779
wollte,wollen,VMFIN,1967706
ebenfalls,ebenfalls,ADV,1967569
Weblinks,weblinks,ADJD,1954224
möglich,möglich,ADJD,1952888
Wie,wie,KOUS,1943521.297
bisher,bisher,ADV,1942951
2005,2005,CARD,1939782
kaum,kaum,ADV,1931090
vielen,viele,PIAT,1924365.995
