word_length,occurrences
39,6
36,3
35,19
33,1
32,1
31,5
30,3
29,32
28,20
27,12
26,44
25,40
24,38
23,54
22,127
21,134
20,95
19,132
18,233
17,268
16,235
15,232
14,302
13,314
12,413
11,1241
10,939
9,1044
8,916
7,682
6,1734
5,1447
4,1734
3,830
2,334
1,1582
