word,frequency
typeVariable,7
TypeAdapterRuntimeTypeWrapper,7
PEEKED_END_ARRAY,7
fail,7
END_OBJECT,7
serialVersionUID,7
copyOf,7
tokenizer,7
matchRawType,7
exclusionStrategy,7
factory,7
BEGIN_ARRAY,7
deepCopy,7
year,6
YEAR,6
BEGIN_OBJECT,6
parseReader,6
collectionType,6
AtomicLong,6
Short,6
oldCapacity,6
beginIndex,6
deserializationStrategies,6
oldLenient,6
leftRight,6
newTypeHierarchyFactory,6
setSerializeNulls,6
TreeTypeAdapter,6
mapped,6
substring,6
PEEKED_UNQUOTED_NAME,6
Modifier,6
SECOND,6
strategy,6
len,6
Currency,6
rightLeft,6
EMPTY_DOCUMENT,6
isInfinite,6
replaced,6
StringBuffer,6
keyword,6
JsonAdapterAnnotationTypeAdapterFactory,6
isBoolean,6
newTop,6
equal,6
JsonAdapter,6
reset,6
leavesToSkip,6
PEEKED_SINGLE_QUOTED_NAME,6
JsonTreeWriter,6
HOUR_OF_DAY,6
Primitives,6
Method,6
InetAddress,6
expectedModCount,6
stringWriter,6
getLowerBounds,6
month,6
asDouble,6
Appendable,6
jsonElement,6
invoke,6
boundFields,6
Byte,6
keyType,6
find,6
MINUTE,6
separator,6
keys,6
rightRight,6
MONTH,6
character,6
findByEntry,6
comparableKey,6
initCause,6
AtomicBoolean,6
AtomicInteger,6
isPrimitive,6
PEEKED_DOUBLE_QUOTED_NAME,6
buf,6
collection,6
getDateTimeInstance,6
leftLeft,6
serializationStrategies,6
JsonTreeReader,6
seconds,6
nextUnquotedValue,6
removeInternalByKey,6
DAY_OF_MONTH,6
boundField,6
capacity,6
rebalance,6
nextNode,6
newComponentType,6
DANGLING_NAME,6
Serializable,5
TimeZone,5
PreJava9DateFormatProvider,5
isLiteral,5
getAsInt,5
parser,5
tokenType,5
emptyList,5
RetentionPolicy,5
SHORT,5
translation,5
NoSuchElementException,5
GenericArrayTypeImpl,5
TIMEZONE_UTC,5
getGenericSuperclass,5
ptype,5
getAsLong,5
serialized,5
getAsDouble,5
Array,5
arg,5
T2,5
peeking,5
verifyDateType,5
floatValue,5
bool,5
