word_length,frequency
75,8
70,4
69,4
67,12
63,8
62,14
61,6
59,4
55,14
54,16
51,6
46,6
44,3
43,4
40,3
38,23
37,8
36,12
35,37
34,27
33,33
32,85
31,98
30,182
29,70
28,94
27,93
26,154
25,154
24,313
23,316
22,538
21,469
20,486
19,512
18,714
17,1141
16,1250
15,1305
14,1787
13,1927
12,1389
11,2263
10,2233
9,2914
8,4069
7,3309
6,6314
5,2804
4,3601
3,3007
2,661
1,950
